Título,Imagen,totalphotos,detail,headerdetail,headerdetail1,Precio,Vista,Título1,Imagen1,totalphotos1,detail1,headerdetail2,headerdetai1,Precio1,Vista1
"Oficina/consultorio en renta en Costa Azul 63 m2 2 cubiculos 1.5 baños Planta baja 10,000 incluye mantenimiento y agua.  RENTA MINIMA POR UN AÑO Estátus jurídico: Libre de gravamen.",https://propiedadescom.s3.amazonaws.com/files/292x200/anton-de-alaminos-1-costa-azul-acapulco-de-juarez-guerrero-24751689-foto-01.jpg,1/5,"
Anton de Alaminos #1	","

2	","

63	","
$ 10 mil MN	","
Ver propiedad
",,,,,,,,
"Oficina/consultorio en renta en Costa Azul 63 m2 2 cubiculos 1.5 baños Planta baja 10,000 incluye mantenimiento y agua. RENTA MINIMA POR UN AÑO",https://propiedadescom.s3.amazonaws.com/files/292x200/costa-azul-costa-azul-acapulco-de-juarez-guerrero-24760506-foto-01.jpg,1/5,"
Costa Azul	","

","

63	","
$ 10 mil MN	","
Ver propiedad
",,,,,,,,
SE RENTA UN NIVEL ( 1 PISO ) ACONDICIONADO Y EQUIPADO PARA OFICINAS EL LOCAL ES MUY AMPLIO CUENTA CON 4 BAÑOS (HOMBRES Y MUJERES )BODEGA ESPACIO MUY AMPLIO ACONDIONADO COMO AREA DE COCINA ...  CUENTA CON UNA EXCELENTE UBICACION YA QUE SE LOCALIZA  SOBRE LA AV COSTERA MIGUEL ALEMAN FTE AL WALMART  EN COSTA AZUL; CERCA A LA BASE NAVAL DE ACAPULCO  RODEADO DE NEGOCIOS TALES COMO BANCOSRESTAURANTESHOTELES SUPERMERCADOS GASOLINERAS....EL EDIFIO CUENTA CON ESTACIONAMIENTO Y ELEVADOR ....EL INMUEBLE ES IDEAL PARA OFICINAS ADMINISTRATIVAS ESCUELASDESPACHOS CONTABLES CONSULTORIOS MEDICOS ..ENTRE MUCHOS OTROS ..EL INMUEBLE CUENTA 487 MTS CUADRADOS .(1 NIVEL ) SE UBICA EN 4TO NIVEL . ,https://propiedadescom.s3.amazonaws.com/files/292x200/costa-azul-acapulco-de-juarez-guerrero-24674562-foto-01.jpg,1/27,"
Colonia Costa Azul	","

4	","

487	","
$ 120 mil MN	","
Ver propiedad
",,,,,,,,
"OFICINAS EN RENTA Fracc. Costa Azul, CP 39850 Acapulco, Gro. UBICACIÓN INTERIOR: 2do piso AREA TOTAL: 12 m2 DESTINO O USO SUGERIDO: Oficina administrativa SALA DE JUNTAS: 6 horas de cortesía mensual, no son acumulativas. BAÑO: En áreas comunes (Damas y Caballeros) ESTACIONAMINETO: Valet parking RENTA MENSUAL: $7,500.00 más IVA SERVICIOS: Luz, agua y limpieza áreas comunes incluida. ID: EB-JO7767",https://propiedadescom.s3.amazonaws.com/files/292x200/costa-azul-acapulco-de-juarez-guerrero-23984204-foto-01.jpg,1/9,"
Colonia Costa Azul	","

2	","

12	","
$ 7.5 mil MN	","
Ver propiedad
",,,,,,,,
EN RENTA ESPACIO PARA OFICINA DE 40 MTS 2 ; UBICADO EN COSTA AZUL A 100 MTS DE LA AV COSTERA MIGUEL ALEMAN EXCELENTE UBICACIONZONA RODEADA DE NEGOCIOS EDIFICIO PRIVADO SE UBICA EN LA CALLE CAPITAN F MAURY CASI ESQ CON AV COSTERA MIGUEL ALEMAN A LA ALTURA DEL CONDOMINIO OCEANIC EL LOCAL SE UBICA EN SEGUNDO NIVEL NO TIENE ELEVADOR CUENTA CON AIRE ACONDICIONADOBAÑOS DE USO COMUN 1 CAJON DE ESTACIONAMIENTO EN EL COSTO DE LA RENTA TIENE DERECHO A 6 RHS AL MES (NO SON ACUMULABLES )  DE USAR UNA SALA DE JUNTAS DE 35MTS2 LA CUAL CUENTA CON PROYECTOR Y AIRE ACONDICIONADO. COSTO DE RENTA MENSUAL DESDE $ 12000 INCLUYE :  AGUA Y LIMPIEZA DE AREAS COMUNES .TEL 7441438399,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",1/15,"
Colonia Costa Azul	","

2	","

40	","
$ 12 mil MN	","
Ver propiedad
",,,,,,,,
Oficina / consultorio en Costa Azul en Acapulco 63 m2 planta baja 2 cubiculos 1.5 baños aire acondicionado a 1 cuadra de Costera,https://propiedadescom.s3.amazonaws.com/files/292x200/piloto-anton-1-costa-azul-acapulco-de-juarez-guerrero-24105354-foto-01.jpg,1/5,"
piloto anton #1	","

2	","

63	","
$ 10 mil MN	","
Ver propiedad
",,,,,,,,
 EN RENTA ESPACIO PARA OFICINA UBICADO EN COSTA AZUL A 100 MTS DE LA AV COSTERA MIGUEL ALEMAN EXCELENTE UBICACIONZONA RODEADA DE NEGOCIOS EDIFICIO PRIVADO SE UBICA EN LA CALLE CAPITAN F MAURY CASI ESQ CON AV COSTERA MIGUEL ALEMAN A LA ALTURA DEL CONDOMINIO OCEANIC EL LOCAL SE UBICA EN SEGUNDO NIVEL NO TIENE ELEVADOR CUENTA CON AIRE ACONDICIONADOBAÑOS DE USO COMUN 1 CAJON DE ESTACIONAMIENTO EN EL COSTO DE LA RENTA TIENE DERECHO A 6 RHS AL MES (NO SON ACUMULATIVAS  )  DE USAR UNA SALA DE JUNTAS DE 35MTS2 LA CUAL CUENTA CON PROYECTOR Y AIRE ACONDICIONADO. COSTO DE RENTA MENSUAL DESDE $ 7500.00 INCLUYE : LUZ AGUALIMPIEZA DE AREAS COMUNES .TEL 7441438399,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",1/19,"
Colonia Costa Azul	","

2	","

12	","
$ 7.5 mil MN	","
Ver propiedad
",,,,,,,,
"Excelentes oficinas en renta, en reconocida Plaza Comercial, con una ubicación priviligiada sobre la Costera Miguel Alemán, a unos metros de la Playa y hoteles, gran movimiento vehicular y de personas. Oficina 50 mtrs2 $13,000.00 mensuales Oficina 200 mtrs2 $50,000.00 mensuales. (8)","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",1/17,"
COSTERA MIGUEL ALEMAN	","

","

50	","
$ 13 mil MN	","
Ver propiedad
",,,,,,,,
"LOCAL PARA OFICINAS O CONSULTORIOS DE 344 M2 $43,000.00 mas IVA ($49,880.00) UBICACIÓN: CALLE QUEBRADA CENTRO DESCRIPCIÓN: LOCAL PARA OFICINAS O CONSULTORIOS EN PRIMER PISO CON BAÑO. -PISO CERÁMICO DE TRÁFICO PESADO -USO DE SUELO MIXTO CONTRATO POR AÑO., . NOTA: recién remodelado. REQUISITOS DE ARRENDATARIO PERSONA FÍSICA:* IDENTIFICACIÓN CON FOTOGRAFÍA (IFE) * COMPROBANTE DE DOMICILIO *COPIA DEL REGISTRÓ FEDERAL DE CONTRIBUYENTES *DOS DEPOSITOS EN GARANTIA EQUIVALENTE A DOS PAGOS DE UN MES DE RENTA *UN DEPÓSITO EN GARANTIA EQUIVALENTE A UN PAGO DE UNA RENTA PAGADA POR ANTICIPADO *UN MES DE RENTA CORRIENTE *PARA EFECTOS DE FIRMA DE CONTRATO SE DEBE REALIZAR EN PRESENCIA DE LOS INTERESADOS (ARRENDADOR Y ARRENDATARIO) FIRMANDO E IMPRIMIENDO LA HUELLA. • DECLARACION ANUAL DEL AÑO ANTERIOR. • PAGO DE LICENCIA DE FUNCIONAMIENTO. (DENTRO DE LOS PRIMEROS 3 MESES DE APERTURA DEL NEGOCIO) • NO ANTECEDENTES PENALES. • OBLIGADO SOLIDARIO (AVAL COPIA DE IFE Y COMPROBANTE DE DOMICILIO) PERSONA MORAL: *COPIA CERTIFICADA DE ACTA CONSTITUTIVA *COPIA CERTIFICADA DE PODER NOTARIAL (VIGENTE) *IDENTIFICACION DE LOS REPRESENTANTES LEGALES (IFE) *COPIA DE LA CONSTANCIA DE SITUACION FISCAL (REGISTRO FEDERAL DE CONTRIBUYENTE) ACTUALIZADA. *CONTRATO DE UN AÑO *DOS DEPOSITOS EN GARANTIA EQUIVALENTE A DOS PAGOS DE UN MES DE RENTA (SIN IVA). POR POSIBLES DAÑOS *UNA RENTA PAGADA POR ANTICIPADO MÁS IVA. COMO GARANTÍA POR ALGÚN ATRASO *UN MES DE RENTA CORRIENTE *PARA EFECTOS DE FIRMA DE CONTRATO SE DEBE REALIZAR EN PRESENCIA DE LOS INTERESADOS (ARRENDADOR Y ARRENDATARIO) FIRMANDO E IMPRIMIENDO LA HUELLA. *3 REFERENCIAS COMERCIALES. * PÓLIZA DE RESPONSABILIDAD CIVIL CON COBERTURA DE ARRENDATARIO COBERTURA MÍNIMA DE 2 MILLONES DE PESOS • DECLARACION ANUAL DEL AÑO ANTERIOR. • PAGO DE LICENCIA DE FUNCIONAMIENTO. (DENTRO LOS PRIMEROS 3 MESES DE APERTURA DEL NEGOCIO) • NO ANTECEDENTES PENALES. • OBLIGADO SOLIDARIO (AVAL COPIA DE IFE Y COMPROBANTE DE DOMICILIO) Estátus jurídico: Libre de gravamen.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",1/6,"
QUEBRADA	","

1	","

344	","
$ 43 mil MN	","
Ver propiedad
",,,,,,,,
"Oficina en renta en Club Deportivo. 1 baños, 1 estacionamientos, 37m2 terreno, 37m2 construcción. Equipada con elevador. Estátus jurídico: Libre de gravamen.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",1/4,"
Costera Miguel Alemán	","

1	","

37	","
$ 7.2 mil MN	","
Ver propiedad
",,,,,,,,
