info,m2_a_l_estac,descripcion,direccion
"MN 92,000
Fraccionamiento Costa Azul, Acapulco de Juárez","460 m²
460 m²
20 estac.","Edificio en renta, 4 niveles disponibles. Frente a walmart costera, con inmejorable ubicación. Disponible: Oficinas. piso 1° (460 m2) piso 2° (460 m2) piso 3° (460 m2) piso 4° (487. 88 m2) Edificio con estacionamiento subterráneo y elevador. Ideal para oficinas, despachos, notarias. Renta $200. 00 M. N más iva el m2","En Renta Edificio, Pisos Completos Frente a Walmart Costera"
"MN 54,437
Av. Costera Miguel Alemán 2611
Fraccionamiento Club Deportivo, Acapulco de Juárez","237 m²
237 m²
5 estac.","Cad Torre Latina - Oficina piso 7. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamientoSuperficie de oficina 237. 12 m² Superficie de áreas comunes 16. 50 m²Superficie total 253. 62 m²Precio de la renta mensual $54, 437 (Este importe considera todo el piso. Existe la posibilidad de renta por módulos) Costo por metro cuadrado $230Se incluye renta y cuotas de mantenimiento (más el iva correspondiente) Torre Latina, Edificio comercial de 12 niveles, con varias opciones de espacios para las diferentes necesidades, ubicada en el corazón financiero de Acapulco, con vistas a la bahía de Santa Lucía, y al Campo de Golf de Acapulco, con una superficie total de construcción de 2, 956 m². Servicios: Vigilancia Elevador panorámico Estacionamientos con acceso por medio de elevadorCasas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños!",Cad Torre Latina. Oficina Piso 7. Vistas a La Bahía y Al Campo de Golf
"MN 3,200
MN 1 Mantenimiento
Cuauhtémoc
Cuauhtémoc, Acapulco de Juárez","50 m²
50 m²
1 rec.
1 baño","En renta oficina sobre la avenida Cuauhtémoc, junto a colegio conamat, cerca de plazas Cuauhtémoc 166, Centro comercial Acapulco, Plaza Universidad y Galeritas Acapulco, cuenta con baño completo, terraza, y todos los servicios.",Oficina U Departamento en Excelente Zona Comercial.
"MN 3,200
MN 1 Mantenimiento
Cuauhtémoc
Cuauhtémoc, Acapulco de Juárez","60 m²
60 m²
1 rec.
1 baño","Se renta oficina o departamento sobre la avenida Cuauhtémoc, junto a colegio conamat, cerca de plazas Cuauhtémoc 166, Centro comercial Acapulco, Plaza Universidad y Galeritas Acapulco, cuenta con baño completo, terraza, y todos los servicios.",Oficina Sobre Av Cuauhtémoc Cerca de Plazas Comerciales.
"MN 54,437
CAD Torre Latina. Oficina Piso 9. 5 Estacionamientos. Vista al mar
Fraccionamiento Club Deportivo, Acapulco de Juárez","237 m²
237 m²
5 estac.","Cad Torre Latina - Oficina piso 9. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamientoSuperficie de oficina 237. 12 m² Superficie de áreas comunes 16. 50 m²Superficie total 253. 62 m²Precio de la renta mensual $54, 437 (Este importe considera todo el piso, existe la posibilidad de renta por módulos) Costo por metro cuadrado $230Se incluye renta y cuotas de mantenimiento (más el iva correspondiente) Torre Latina, Edificio comercial de 12 niveles, con varias opciones de espacios para las diferentes necesidades, ubicada en el corazón financiero de Acapulco, con vistas a la bahía de Santa Lucía, y al Campo de Golf de Acapulco, con una superficie total de construcción de 2, 956 m². Servicios: Vigilancia Elevador panorámico Estacionamientos con acceso por medio de elevadorCasas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños!",Cad Torre Latina. Oficina Piso 9. 5 Estacionamientos. Vista Al Mar
"MN 54,466
CAD Torre Latina. Oficina Piso 6. Vista a la Bahía de Santa Lucía
Fraccionamiento Club Deportivo, Acapulco de Juárez","236 m²
236 m²
5 estac.","Cad Torre Latina - Oficina piso 6. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamientoLas áreas privativas son: Superficie de oficina 236. 81 m² Superficie de áreas comunes 16. 50 m²Superficie total 253. 31 m²Precio de la renta mensual $54, 466 (Este importe considera todo el piso, existe la posibilidad de renta por módulos) Costo por metro cuadrado $230Se incluye renta y cuotas de mantenimiento (más el iva correspondiente) Torre Latina, Edificio comercial de 12 niveles, con varias opciones de espacios para las diferentes necesidades, ubicada en el corazón financiero de Acapulco, con vistas a la bahía de Santa Lucía, y al Campo de Golf de Acapulco, con una superficie total de construcción de 2, 956 m². Servicios: Vigilancia Elevador panorámico Estacionamientos con acceso por medio de elevadorCasas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños!",Cad Torre Latina. Oficina Piso 6. Vista a La Bahía de Santa Lucía
"MN 82,816
Icacos, Acapulco de Juárez","487 m²
487 m²
1 baño
10 estac.","Piso 4 y 5 en renta. Edificio frente a walmart Icacos, en Av costera Miguel Aleman. Ideal para bufet de abogados, notarias o dependencias de gobierno. Cuenta con estacionamiento subterráneo y elevador. Características: Piso #4. 5 despachos. Zona de usos múltiples. Baños. Bodega. Cocina. Dimenciones: 487. 88m2. Precio de Renta: $200 m2 = $97, 576. 00. Piso #3. 8 despachos pequeños. Baños. Zona de usos múltiples. Dimenciones: 414. 08 m2. Precio de Renta: $200m2 = $82, 816. 00",Oficina en Pisos Completos Frente a Wal Mart Icacos
"MN 25,000
Fraccionamiento Costa Azul, Acapulco de Juárez","140 m²
140 m²
1 baño
2 estac.","Excelente ubicacion, buenos acabados. elevador. estacionamiento. 140 M2",Lindas Oficinas en Renta en Costera en Zona Dorada
"MN 7,500
Fraccionamiento Costa Azul, Acapulco de Juárez","1000 m²
12 m²
1 rec.
2 baños","Ofrezco en renta anual, Oficinas de 12 m2. Amuebladas. Aire acondicionado. Sala de espera de uso comun. Baños para Damas y Caballeros de uso común. Sala de juntas. Ubicacion: Fraccionamiento Costa Azul. A 100 metros de la costera Miguel Alemán a la altura de del edificio Oceanic 2000. Incluido: Suministro agua potable. Luz aparte. Contrato anual.",En Renta Oficinas Equipadas en Acapulco a 20 m de Costera Miguel Aleman
"MN 82,816
Icacos, Acapulco de Juárez","488 m²
200 m²
2 estac.","Piso 4 y 5 en renta. Edificio frente a walmart Icacos, en Av costera Miguel Alemen. Ideal para bufet de abogados, notarias o dependencias de gobierno. Cuenta con estacionamiento subterráneo y elevador. Características: Piso #4. 5 despachos. Zona de usos múltiples. Baños. Bodega. Cocina. Dimenciones: 487. 88m2. Precio de Renta: $200 m2 = $97, 576. 00. Piso #3. 8 despachos pequeños. Baños. Zona de usos múltiples. Dimenciones: 414. 08 m2. Precio de Renta: $200m2 = $82, 816. 00",Despacho Excelente
