info,m2_a_l_estac,direccion
"$25,000 MXN","4
180 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$16,550 MXN","1
84 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$25,000 MXN","2
160 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$13,000 MXN","4
200 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$49,500 MXN","1
253 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$14,000 MXN","1
60 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$7,200 MXN","1
36 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$54,437 MXN",237 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$54,466 MXN",236 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$103,500 MXN",414 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$54,466 MXN",236 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$43,000 MXN","1
344 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$250,000 MXN",970 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$10,208 MXN",55 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$10,000 MXN",55 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$7,000 MXN","2
120 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$120,000 MXN","4
487 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$5,000 MXN",50 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$11,500 MXN",21 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$13,000 MXN",50 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$58,400 MXN",253.61 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$7,500 MXN",32 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$8,500 MXN","1
30 m2","Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
"$15,000 MXN",200 m2,"Costera Miguel Aleman, Col. Club Deportivo, Acapulco de Juárez, Guerrero, México"
